user_id,accounts_count,accounts,has_ftd,has_qftd
bullwaves-805295,1,,0,0
bullwaves-805180,1,,0,0
bullwaves-805193,1,,0,0
bullwaves-805270,1,,0,0
bullwaves-805290,1,,0,0
bullwaves-805157,1,,0,0
bullwaves-805194,1,,0,0
bullwaves-805051,1,,0,0
bullwaves-805294,1,,0,0
bullwaves-805076,1,,0,0
bullwaves-805219,1,,0,0
bullwaves-805272,1,,0,0
bullwaves-805197,1,,0,0
bullwaves-805266,1,,0,0
bullwaves-805202,1,,0,0
bullwaves-805120,1,,0,0
bullwaves-805211,1,,0,0
bullwaves-805123,1,,0,0
bullwaves-805269,1,,0,0
bullwaves-805257,1,,0,0
bullwaves-805299,1,,0,0
bullwaves-805163,1,,0,0
bullwaves-805161,1,,0,0
bullwaves-805274,1,,0,0
bullwaves-805145,1,,0,0
bullwaves-805289,1,,0,0
bullwaves-805079,1,,0,0
bullwaves-805240,1,,0,0
bullwaves-805116,1,,0,0
bullwaves-805196,1,,0,0
bullwaves-805216,1,,0,0
bullwaves-805208,1,,0,0
bullwaves-805012,1,,0,0
bullwaves-805291,1,,0,0
bullwaves-805198,1,,0,0
bullwaves-805130,1,,0,0
bullwaves-805243,1,,0,0
bullwaves-805182,1,,0,0
bullwaves-805213,1,,0,0
bullwaves-805195,1,,0,0
bullwaves-805260,1,,0,0
bullwaves-805293,1,,0,0
bullwaves-805263,1,,0,0
bullwaves-805125,1,,0,0
bullwaves-804934,1,,0,0
bullwaves-804970,1,,0,0
bullwaves-805203,1,,0,0
bullwaves-804946,1,,0,0
bullwaves-805159,1,,0,0
bullwaves-805138,1,,0,0
